Account ID,Line Item,Start Time,End Time,Project,Measurement1,Measurement1 Total Consumption,Measurement1 Units,Credit1,Credit1 Amount,Credit1 Currency,Cost,Currency,Project Number,Project ID,Project Name,Project Labels,Description
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaCn,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaCn,97651,bytes,,,,0.000017,USD,1015639972876,stevenson-cf,stevenson-cf,,Network Internet Egress from Americas to China
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaCn,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaCn,111278,bytes,,,,0.000019,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Network Internet Egress from Americas to China
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaEu,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaEu,48,bytes,,,,0,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Network Internet Egress from Americas to EMEA
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaNa,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaNa,136776,bytes,,,,0.000024,USD,1015639972876,stevenson-cf,stevenson-cf,,Network Internet Egress from Americas to Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaNa,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-sql/NetworkInternetEgressNaNa,1155172,bytes,,,,0.000204,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Network Internet Egress from Americas to Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/StoragePdHdd,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/cloud-sql/StoragePdHdd,1855425871872000,byte-seconds,,,,0.06,USD,1015639972876,stevenson-cf,stevenson-cf,,Storage PD HDD
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/StoragePdSnapshot,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-sql/StoragePdSnapshot,1498758721536,byte-seconds,,,,0.000043,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Storage PD Snapshot
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/StoragePdSnapshot,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1008982869951,com.google.cloud/services/cloud-sql/StoragePdSnapshot,882980298752,byte-seconds,,,,0.000025,USD,1008982869951,cf-security-enablement,CF-Security Enablement,,Storage PD Snapshot
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/StoragePdSsd,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/cloud-sql/StoragePdSsd,927712935936000,byte-seconds,,,,0.056666,USD,1015639972876,stevenson-cf,stevenson-cf,,Storage PD SSD
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/StoragePdSsd,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-sql/StoragePdSsd,1855425871872000,byte-seconds,,,,0.113333,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Storage PD SSD
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/StoragePdSsd,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1008982869951,com.google.cloud/services/cloud-sql/StoragePdSsd,927712935936000,byte-seconds,,,,0.056666,USD,1008982869951,cf-security-enablement,CF-Security Enablement,,Storage PD SSD
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/VmF1MicroNa,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/cloud-sql/VM_F1_MICRO_NA,259200,seconds,,,,0.756,USD,1015639972876,stevenson-cf,stevenson-cf,,F1_MICRO in NA (with 30% promotional discount)
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/VmF1MicroNa,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-sql/VM_F1_MICRO_NA,86400,seconds,,,,0.252,USD,549019880873,ops-manager-ci,Ops-Manager CI,,F1_MICRO in NA (with 30% promotional discount)
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/VmG1SmallNa,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-sql/VM_G1_SMALL_NA,86400,seconds,,,,0.84,USD,549019880873,ops-manager-ci,Ops-Manager CI,,G1_SMALL in NA (with 30% promotional discount)
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-sql/VmN1Standard1Na,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1008982869951,com.google.cloud/services/cloud-sql/VM_N1_STANDARD_1_NA,86400,seconds,,,,1.6224,USD,1008982869951,cf-security-enablement,CF-Security Enablement,,N1_STANDARD_1 in NA (with 30% promotional discount)
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/BandwidthDownloadAmerica,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-storage/BandwidthDownloadAmerica,846,bytes,,,,0,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Download US EMEA
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/BandwidthDownloadAmerica,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,523315467662,com.google.cloud/services/cloud-storage/BandwidthDownloadAmerica,292165,bytes,,,,0.000032,USD,523315467662,cma-test,CF-CMA,,Download US EMEA
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/BandwidthDownloadAmerica,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,651440090719,com.google.cloud/services/cloud-storage/BandwidthDownloadAmerica,44908966,bytes,,,,0.005018,USD,651440090719,bosh-cpi,CF-BOSH CPI,,Download US EMEA
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/ClassARequest,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,523315467662,com.google.cloud/services/cloud-storage/ClassARequest,29,requests,,,,0.00029,USD,523315467662,cma-test,CF-CMA,,Class A Request
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/ClassARequest,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,651440090719,com.google.cloud/services/cloud-storage/ClassARequest,5689,requests,,,,0.05689,USD,651440090719,bosh-cpi,CF-BOSH CPI,,Class A Request
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/ClassBRequest,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-storage/ClassBRequest,2,requests,,,,0.000002,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Class B Request
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/ClassBRequest,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,523315467662,com.google.cloud/services/cloud-storage/ClassBRequest,26,requests,,,,0.000026,USD,523315467662,cma-test,CF-CMA,,Class B Request
